time,value
2026-01-27T10:10:50Z,333
2026-01-27T10:10:55Z,330
2026-01-27T10:11:00Z,330
2026-01-27T10:11:05Z,325
2026-01-27T10:11:10Z,337
2026-01-27T10:11:15Z,329
2026-01-27T10:11:20Z,330
2026-01-27T10:11:25Z,334
2026-01-27T10:11:30Z,336
2026-01-27T10:11:35Z,331
2026-01-27T10:11:40Z,328
2026-01-27T10:11:45Z,326
2026-01-27T10:11:50Z,327
2026-01-27T10:11:55Z,323
2026-01-27T10:12:00Z,316
2026-01-27T10:12:05Z,314
2026-01-27T10:12:10Z,322
2026-01-27T10:12:15Z,312
2026-01-27T10:12:20Z,305
2026-01-27T10:12:25Z,319
2026-01-27T10:12:30Z,319
2026-01-27T10:12:35Z,322
2026-01-27T10:12:40Z,323
2026-01-27T10:12:45Z,310
2026-01-27T10:12:50Z,307
2026-01-27T10:12:55Z,306
2026-01-27T10:13:00Z,298
2026-01-27T10:13:05Z,313
2026-01-27T10:13:10Z,299
2026-01-27T10:13:15Z,308
2026-01-27T10:13:20Z,301
2026-01-27T10:13:25Z,305
2026-01-27T10:13:30Z,302
2026-01-27T10:13:35Z,300
2026-01-27T10:13:40Z,308
2026-01-27T10:13:45Z,317
2026-01-27T10:13:50Z,322
2026-01-27T10:13:55Z,317
2026-01-27T10:14:00Z,312
2026-01-27T10:14:05Z,321
2026-01-27T10:14:10Z,331
2026-01-27T10:14:15Z,339
2026-01-27T10:14:20Z,375
2026-01-27T10:14:25Z,370
2026-01-27T10:14:30Z,379
2026-01-27T10:14:35Z,374
2026-01-27T10:14:40Z,371
2026-01-27T10:14:45Z,382
2026-01-27T10:14:50Z,387
2026-01-27T10:14:55Z,397
2026-01-27T10:15:00Z,404
2026-01-27T10:15:05Z,408
2026-01-27T10:15:10Z,406
2026-01-27T10:15:15Z,409
2026-01-27T10:15:20Z,418
2026-01-27T10:15:25Z,427
2026-01-27T10:15:30Z,461
2026-01-27T10:15:35Z,463
2026-01-27T10:15:40Z,466
2026-01-27T10:15:45Z,463
2026-01-27T10:15:50Z,463
2026-01-27T10:15:55Z,483
2026-01-27T10:16:00Z,479
2026-01-27T10:16:05Z,503
2026-01-27T10:16:10Z,498
2026-01-27T10:16:15Z,502
2026-01-27T10:16:20Z,483
2026-01-27T10:16:25Z,482
2026-01-27T10:16:30Z,480
2026-01-27T10:16:35Z,482
2026-01-27T10:16:40Z,470
2026-01-27T10:16:45Z,467
2026-01-27T10:16:50Z,463
2026-01-27T10:16:55Z,464
2026-01-27T10:17:00Z,464
2026-01-27T10:17:05Z,452
2026-01-27T10:17:10Z,438
2026-01-27T10:17:15Z,437
2026-01-27T10:17:20Z,437
2026-01-27T10:17:25Z,430
2026-01-27T10:17:30Z,422
2026-01-27T10:17:35Z,419
2026-01-27T10:17:40Z,405
2026-01-27T10:17:45Z,412
2026-01-27T10:17:50Z,394
2026-01-27T10:17:55Z,393
2026-01-27T10:18:00Z,394
2026-01-27T10:18:05Z,398
2026-01-27T10:18:10Z,376
2026-01-27T10:18:15Z,378
2026-01-27T10:18:20Z,408
2026-01-27T10:18:25Z,410
2026-01-27T10:18:30Z,405
2026-01-27T10:18:35Z,407
2026-01-27T10:18:40Z,405
2026-01-27T10:18:45Z,401
2026-01-27T10:18:50Z,400
2026-01-27T10:18:55Z,392
2026-01-27T10:19:00Z,383
2026-01-27T10:19:05Z,383
2026-01-27T10:19:10Z,372
2026-01-27T10:19:15Z,372
2026-01-27T10:19:20Z,377
2026-01-27T10:19:25Z,362
2026-01-27T10:19:30Z,354
2026-01-27T10:19:35Z,364
2026-01-27T10:19:40Z,373
2026-01-27T10:19:45Z,363
2026-01-27T10:19:50Z,360
2026-01-27T10:19:55Z,351
2026-01-27T10:20:00Z,358
2026-01-27T10:20:05Z,360
2026-01-27T10:20:10Z,367
2026-01-27T10:20:15Z,365
2026-01-27T10:20:20Z,364
2026-01-27T10:20:25Z,362
2026-01-27T10:20:30Z,369
2026-01-27T10:20:35Z,347
2026-01-27T10:20:40Z,339
2026-01-27T10:20:45Z,342
2026-01-27T10:20:50Z,346
2026-01-27T10:20:55Z,347
2026-01-27T10:21:00Z,358
2026-01-27T10:21:05Z,334
2026-01-27T10:21:10Z,342
2026-01-27T10:21:15Z,336
2026-01-27T10:21:20Z,330
2026-01-27T10:21:25Z,320
2026-01-27T10:21:30Z,348
2026-01-27T10:21:35Z,335
2026-01-27T10:21:40Z,346
2026-01-27T10:21:45Z,353
2026-01-27T10:21:50Z,380
2026-01-27T10:21:55Z,371
2026-01-27T10:22:00Z,379
2026-01-27T10:22:05Z,371
2026-01-27T10:22:10Z,370
2026-01-27T10:22:15Z,390
2026-01-27T10:22:20Z,375
2026-01-27T10:22:25Z,374
2026-01-27T10:22:30Z,376
2026-01-27T10:22:35Z,372
2026-01-27T10:22:40Z,379
2026-01-27T10:22:45Z,383
2026-01-27T10:22:50Z,376
2026-01-27T10:22:55Z,370
2026-01-27T10:23:00Z,376
2026-01-27T10:23:05Z,365
2026-01-27T10:23:10Z,366
2026-01-27T10:23:15Z,360
2026-01-27T10:23:20Z,357
2026-01-27T10:23:25Z,366
2026-01-27T10:23:30Z,346
2026-01-27T10:23:35Z,339
2026-01-27T10:23:40Z,343
2026-01-27T10:23:45Z,343
2026-01-27T10:23:50Z,327
2026-01-27T10:23:55Z,330
2026-01-27T10:24:00Z,328
2026-01-27T10:24:05Z,316
2026-01-27T10:24:10Z,314
2026-01-27T10:24:15Z,319
2026-01-27T10:24:20Z,320
2026-01-27T10:24:25Z,315
2026-01-27T10:24:30Z,310
2026-01-27T10:24:35Z,307
2026-01-27T10:24:40Z,304
2026-01-27T10:24:45Z,307
2026-01-27T10:24:50Z,308
2026-01-27T10:24:55Z,311
2026-01-27T10:25:00Z,324
2026-01-27T10:25:05Z,317
2026-01-27T10:25:10Z,326
2026-01-27T10:25:15Z,320
2026-01-27T10:25:20Z,317
2026-01-27T10:25:25Z,319
2026-01-27T10:25:30Z,324
2026-01-27T10:25:35Z,334
2026-01-27T10:25:40Z,330
2026-01-27T10:25:45Z,325
2026-01-27T10:25:50Z,328
2026-01-27T10:25:55Z,327
2026-01-27T10:26:00Z,311
2026-01-27T10:26:05Z,315
2026-01-27T10:26:10Z,315
2026-01-27T10:26:15Z,322
2026-01-27T10:26:20Z,306
2026-01-27T10:26:25Z,313
2026-01-27T10:26:30Z,307
2026-01-27T10:26:35Z,307
