time,value
2026-01-27T10:10:50Z,1
2026-01-27T10:14:30Z,2
2026-01-27T10:15:00Z,4
2026-01-27T10:15:30Z,5
2026-01-27T10:16:30Z,2
2026-01-27T10:17:00Z,1
2026-01-27T10:28:00Z,2
2026-01-27T10:28:30Z,4
2026-01-27T10:29:00Z,5
2026-01-27T10:30:00Z,3
2026-01-27T10:30:30Z,1
2026-01-27T10:40:00Z,2
2026-01-27T10:40:30Z,4
2026-01-27T10:41:30Z,3
2026-01-27T10:41:45Z,2
2026-01-27T10:42:15Z,1
2026-01-27T10:58:30Z,2
2026-01-27T10:59:00Z,3
2026-01-27T10:59:30Z,4
2026-01-27T11:00:30Z,3
2026-01-27T11:00:45Z,2
2026-01-27T11:01:30Z,1
2026-01-27T11:06:30Z,3
2026-01-27T11:07:00Z,5
2026-01-27T11:07:45Z,4
2026-01-27T11:08:00Z,3
2026-01-27T11:08:15Z,2
2026-01-27T11:09:00Z,1
2026-01-27T11:10:45Z,1

