time,value
2026-01-27T10:10:50Z,1
2026-01-27T10:14:00Z,2
2026-01-27T10:14:30Z,4
2026-01-27T10:15:00Z,5
2026-01-27T10:16:00Z,2
2026-01-27T10:16:30Z,1
2026-01-27T10:27:30Z,2
2026-01-27T10:28:00Z,4
2026-01-27T10:28:30Z,5
2026-01-27T10:29:30Z,3
2026-01-27T10:30:00Z,1
2026-01-27T10:39:30Z,2
2026-01-27T10:40:00Z,4
2026-01-27T10:41:00Z,3
2026-01-27T10:41:15Z,2
2026-01-27T10:41:45Z,1
2026-01-27T10:58:00Z,2
2026-01-27T10:58:30Z,3
2026-01-27T10:59:00Z,4
2026-01-27T11:00:00Z,3
2026-01-27T11:00:15Z,2
2026-01-27T11:01:00Z,1
2026-01-27T11:06:00Z,3
2026-01-27T11:06:30Z,5
2026-01-27T11:07:15Z,4
2026-01-27T11:07:30Z,3
2026-01-27T11:07:45Z,2
2026-01-27T11:08:30Z,1
2026-01-27T11:10:45Z,1

