time,value
2026-01-27T10:10:50Z,1
2026-01-27T10:11:35Z,2
2026-01-27T10:12:05Z,3
2026-01-27T10:12:35Z,4
2026-01-27T10:13:05Z,5
2026-01-27T10:15:05Z,4
2026-01-27T10:15:35Z,3
2026-01-27T10:16:05Z,2
2026-01-27T10:16:35Z,1
2026-01-27T10:24:35Z,2
2026-01-27T10:25:05Z,3
2026-01-27T10:25:35Z,4
2026-01-27T10:26:05Z,5
2026-01-27T10:28:05Z,4
2026-01-27T10:28:35Z,3
2026-01-27T10:29:05Z,2
2026-01-27T10:29:35Z,1
2026-01-27T10:37:35Z,1
2026-01-27T10:38:05Z,2
2026-01-27T10:38:35Z,3
2026-01-27T10:39:05Z,4
2026-01-27T10:39:35Z,5
2026-01-27T10:41:35Z,4
2026-01-27T10:42:05Z,3
2026-01-27T10:42:35Z,2
2026-01-27T10:43:05Z,1
2026-01-27T10:53:35Z,2
2026-01-27T10:54:05Z,3
2026-01-27T10:54:35Z,4
2026-01-27T10:55:05Z,5
2026-01-27T10:57:05Z,4
2026-01-27T10:57:35Z,3
2026-01-27T10:58:05Z,2
2026-01-27T10:58:35Z,1
2026-01-27T11:15:00Z,1

