time,value
2026-01-27T10:10:50Z,1
2026-01-27T10:16:45Z,2
2026-01-27T10:17:35Z,4
2026-01-27T10:18:35Z,3
2026-01-27T10:19:35Z,2
2026-01-27T10:25:35Z,1
2026-01-27T10:29:20Z,2
2026-01-27T10:30:20Z,3
2026-01-27T10:36:20Z,2
2026-01-27T10:40:05Z,1
2026-01-27T10:42:50Z,4
2026-01-27T10:47:40Z,3
2026-01-27T10:52:05Z,2
2026-01-27T10:55:45Z,1
2026-01-27T10:58:25Z,2
2026-01-27T11:00:55Z,3
2026-01-27T11:01:35Z,4
2026-01-27T11:02:55Z,3
2026-01-27T11:04:40Z,2
2026-01-27T11:07:20Z,1
2026-01-27T11:08:40Z,2
2026-01-27T11:09:30Z,3
2026-01-27T11:10:25Z,4
2026-01-27T11:10:25Z,4
2026-01-27T11:10:45Z,4

